"s","beta.hat","CI.lower.pointwise","CI.upper.pointwise","CI.lower.joint","CI.upper.joint"
1,-0.00507688363233871,-0.304447720253948,0.294293952989271,-0.448346886717791,0.438193119453114
2,-0.000536801994299091,-0.303633265965616,0.302559661977018,-0.449323237025617,0.448249633037019
3,0.00503915554434961,-0.301765736251628,0.311844047340327,-0.449238244578392,0.459316555667092
4,0.0113238099756452,-0.29876241451784,0.32141003446913,-0.447812167459979,0.470459787411269
5,0.0166711265951514,-0.295817553936829,0.329159807127132,-0.446022100129063,0.479364353319365
6,0.0196918734966005,-0.294009715987809,0.33339346298101,-0.444797273502122,0.484181020495323
7,0.020442962590785,-0.293240367679509,0.334126292861079,-0.444019148501607,0.484905073683177
8,0.0203987793326457,-0.292251883369317,0.333049442034608,-0.442534289848495,0.483331848513787
9,0.0215226668909979,-0.28942889818171,0.332474231963706,-0.438894596075144,0.48193992985714
10,0.0246503439525824,-0.28427889039958,0.333579578304744,-0.43277251062411,0.482073198529275
11,0.0283063411764016,-0.2785522264214,0.335164908774203,-0.42605053520097,0.482663217553773
12,0.0299884432976035,-0.274956932838252,0.334933819433459,-0.421535624130138,0.481512510725345
13,0.029376372467798,-0.273952571502879,0.332705316438475,-0.419754289179567,0.478507034115163
14,0.0293526486096194,-0.272703958433695,0.331409255652934,-0.417894099427181,0.47659939664642
15,0.0327046176433621,-0.268354482069723,0.333763717356447,-0.413065149260812,0.478474384547536
16,0.0384722382311289,-0.261705106495447,0.338649582957705,-0.405991938789939,0.482936415252197
17,0.0429347098007778,-0.256308964722868,0.342178384324423,-0.40014700793199,0.486016427533545
18,0.0440024253136695,-0.254152398181157,0.342157248808496,-0.397467061233352,0.485471911860691
19,0.0433348165647303,-0.253547370957466,0.340217004086927,-0.396250313583784,0.482919946713245
20,0.0439167007289209,-0.251526242528623,0.339359643986465,-0.393537380794976,0.481370782252817
21,0.0465198710884021,-0.247368515852658,0.340408258029462,-0.38863242248921,0.481672164666015
22,0.0490761447533797,-0.243234275608919,0.341386565115678,-0.383739697959046,0.481891987465806
23,0.0492875410945659,-0.241534673497202,0.340109755686334,-0.381324757064425,0.479899839253557
24,0.0476162999057625,-0.241890327489296,0.337122927300821,-0.381048045181628,0.476280644993154
25,0.0473389497478792,-0.241040918982135,0.335718818477894,-0.37965703537978,0.474334934875539
26,0.0509632262927241,-0.23644119040043,0.338367642985878,-0.374588434356745,0.476514886942193
27,0.0567516657887369,-0.229780287702591,0.343283619280065,-0.367508163062654,0.481011494640128
28,0.0602022077322786,-0.225531861187213,0.34593627665177,-0.362876215807188,0.483280631271745
29,0.0595499486838264,-0.225447076220199,0.344546973587852,-0.362437154449496,0.481537051817149
30,0.0582407699835456,-0.226052790995989,0.34253433096308,-0.362704733842715,0.479186273809806
31,0.0606258748982501,-0.222945331682317,0.344197081478817,-0.359250059025101,0.480501808821601
32,0.0664705520203876,-0.216308387187012,0.349249491227787,-0.352232293819597,0.485173397860372
33,0.0715699698754122,-0.210333388702156,0.35347332845298,-0.345836428278261,0.488976368029086
34,0.0730739642913064,-0.207899894430098,0.354047823012711,-0.342956149489583,0.489104078072196
35,0.0721530704697917,-0.207892473308766,0.35219861424835,-0.342502513406236,0.48680865434582
36,0.071532837695415,-0.207664755928796,0.350730431319626,-0.341867210164563,0.484932885555392
37,0.0724072462499593,-0.206135195719706,0.350949688219625,-0.340022736926333,0.484837229426251
38,0.0743490837954864,-0.203855040764753,0.352553208355726,-0.337579962279475,0.486278129870448
39,0.0768181658679815,-0.201450839241631,0.355087170977594,-0.335206947017112,0.488843278753075
40,0.0798541900410265,-0.198912665903867,0.35862104598592,-0.332908076615561,0.492616456697614
41,0.0837751384102019,-0.195924692444334,0.363474969264737,-0.330368558033411,0.497918834853815
42,0.088521272292622,-0.192542828494877,0.369585373080121,-0.327642460385044,0.504685004970288
43,0.0931425685298312,-0.189691821624135,0.375976958683798,-0.325642381971827,0.511927519031489
44,0.096365532248083,-0.188588691412733,0.381319755908899,-0.325558196284614,0.51828926078078
45,0.0981492139767435,-0.189201193788217,0.385499621741704,-0.327322477167222,0.52362090512071
46,0.099980815727656,-0.189948911550326,0.389910543005638,-0.329310001492176,0.529271632947488
47,0.102926981769414,-0.189643569481528,0.395497533020356,-0.330274029455459,0.536127992994287
48,0.106367111943659,-0.188817881390383,0.4015521052777,-0.330705030361718,0.543439254249035
49,0.109681993734666,-0.188135619616325,0.407499607085657,-0.331288195208136,0.550652182677468
50,0.113908174297967,-0.186721433878639,0.414537782474574,-0.331225656531577,0.559042005127511
51,0.119944805055714,-0.183811974530507,0.423701584641935,-0.329819340790589,0.569708950902017
52,0.126118331051356,-0.181118904589752,0.433355566692463,-0.328799228479455,0.581035890582166
53,0.129748926028059,-0.181357962217921,0.44085581427404,-0.330898319605308,0.590396171661426
54,0.130657275308463,-0.184844497603959,0.446159048220885,-0.336497352812919,0.597811903429845
55,0.130969679075793,-0.189645666593801,0.451585024745386,-0.343756472836713,0.605695830988298
56,0.131886717381238,-0.194703366971954,0.458476801734431,-0.351686062561576,0.615459497324052
57,0.13297165907917,-0.200505763069189,0.46644908122753,-0.360799008808129,0.62674232696647
58,0.134130656552851,-0.207116303264811,0.475377616370514,-0.371144147894676,0.639405461000379
59,0.135242016275585,-0.214543434408339,0.485027466959508,-0.38267549216858,0.653159524719749
60,0.13361048583289,-0.225303705286016,0.492524676951796,-0.397823692593045,0.665044664258825
61,0.125066235408166,-0.243369931745827,0.493502402562159,-0.42046686592584,0.670599336742172
62,0.108724864672882,-0.269413986930671,0.486863716276435,-0.451174729451235,0.668624458796999
63,0.0879172436853196,-0.299801693489596,0.475636180860236,-0.486167314507773,0.662001801878412
64,0.0650956551141365,-0.33163244863387,0.461823758862143,-0.522328523396411,0.652519833624684
65,0.0383743502326909,-0.366286076954794,0.443034777420176,-0.560794997163284,0.637543697628666
66,0.00458687213476128,-0.406568189393892,0.415741933663414,-0.604198898213217,0.613372642482739
67,-0.0366380667772361,-0.452768850012597,0.379492716458125,-0.652791248731418,0.579515115176946
68,-0.0831382517162416,-0.502837620607608,0.336561117175125,-0.704575338384053,0.53829883495157
69,-0.131296464515579,-0.553242494294996,0.290649565263838,-0.756060118961389,0.493467189930231
70,-0.1743166109782,-0.597161857794107,0.248528635837708,-0.800411710874869,0.45177848891847
71,-0.202628219991027,-0.625046696215988,0.219790256233934,-0.828091412640816,0.422834972658763
72,-0.210800449411703,-0.631709705649159,0.210108806825753,-0.834028982346247,0.412428083522841
73,-0.204185045527955,-0.622906877446224,0.214536786390315,-0.824174720610954,0.415804629555045
74,-0.195992835743151,-0.612200433723299,0.220214762236998,-0.812259755135966,0.420274083649664
75,-0.19754313794551,-0.611138137282865,0.216051861391846,-0.809941655788191,0.414855379897172
76,-0.212509495748329,-0.623650873935587,0.198631882438929,-0.821275005556401,0.396256014059743
77,-0.238763905699229,-0.648040769907044,0.170512958508585,-0.84476868194104,0.367240870542581
78,-0.272151106850549,-0.68067943973193,0.136377226030833,-0.877047553746983,0.332745340045885
79,-0.30819585657279,-0.717483867718143,0.101092154572563,-0.914217137772441,0.297825424626861
80,-0.343167587958974,-0.754825702812816,0.0684905268948681,-0.95269821525937,0.266363039341422
81,-0.375113767170959,-0.790602866729345,0.0403753323874275,-0.990316826098187,0.240089291756269
82,-0.403160748047545,-0.82366822891768,0.0173467328225889,-1.02579438346194,0.219472887366845
83,-0.425938430281434,-0.852301744206677,0.000424883643808771,-1.05724263349628,0.205365772933409
84,-0.441922172219113,-0.874503658402449,-0.0093406860357772,-1.08243344873186,0.198589104293636
85,-0.450972156248573,-0.889532151615093,-0.012412160882053,-1.10033564366464,0.198391331167491
86,-0.454118789777784,-0.897821780207858,-0.0104157993477091,-1.111097365769,0.20285978621343
87,-0.452317571429006,-0.899910207754948,-0.00472493510306526,-1.11505543702812,0.210420294170104
88,-0.446976614812244,-0.897021667739887,0.00306843811539864,-1.11334570490493,0.219392475280444
89,-0.440928008199365,-0.89195653308469,0.01010051668596,-1.10875329764212,0.226897281243386
90,-0.436613885419773,-0.887182513468518,0.0139547426289715,-1.10375821851263,0.230530447673086
91,-0.433562433026803,-0.882310799945586,0.0151859338919811,-1.09801155650673,0.230886690453124
92,-0.429873641323148,-0.875638405712942,0.0158911230666474,-1.08990502820202,0.230157745555728
93,-0.425975404191245,-0.867899853666061,0.0159490452835703,-1.08032054446233,0.228369736079837
94,-0.424354976367295,-0.861909350494196,0.0131993977596058,-1.07222946861262,0.223519515878033
95,-0.42551273812743,-0.858440182010043,0.0074147057551836,-1.06653626450445,0.21551078824959
96,-0.42714890095999,-0.855425342752606,0.00112754083262534,-1.06128581896176,0.206988017041781
97,-0.428167201691919,-0.852005720693325,-0.00432868269051262,-1.05573301186117,0.199398608477332
98,-0.430585981259025,-0.850423312710831,-0.0107486498072181,-1.05222734522145,0.191055382703402
99,-0.436016872177385,-0.852435516317205,-0.0195982280375649,-1.05259628170085,0.18056253734608
100,-0.442866179137305,-0.856487900190417,-0.0292444580841928,-1.0553042630752,0.16957190480059
101,-0.449014004663519,-0.860417507162135,-0.037610502164902,-1.05816763458915,0.160139625262116
102,-0.45497205949943,-0.864644574005102,-0.0452995449937581,-1.06156266404279,0.151618545043932
103,-0.461799702004281,-0.870110222861123,-0.0534891811474388,-1.06637364074368,0.142774236735116
104,-0.467622389070374,-0.874805966243666,-0.0604388118970817,-1.07052769389833,0.135282915757579
105,-0.469436138375283,-0.875577304326535,-0.0632949724240312,-1.07079797413716,0.131925697386595
106,-0.467798091482899,-0.872826339595617,-0.0627698433701805,-1.06751206100875,0.13191587804295
107,-0.466597121258319,-0.870344163661454,-0.0628500788551838,-1.06441404541646,0.131219802899822
108,-0.467706163709385,-0.870031910592645,-0.0653804168261239,-1.063418615446,0.128006288027228
109,-0.468413632901724,-0.869307982871801,-0.0675192829316458,-1.06200665536699,0.125179389563543
110,-0.465222182217862,-0.864791805900052,-0.0656525585356731,-1.05685371961549,0.126409355179766
111,-0.458253064443489,-0.856629346246921,-0.0598767826400573,-1.04811765398391,0.131611525096932
112,-0.45039864101073,-0.847673578001385,-0.053123704020075,-1.03863250016984,0.137835218148379
113,-0.443323035210209,-0.839543187756354,-0.0471028826640634,-1.02999510461969,0.143349034199275
114,-0.436003162102864,-0.831168998918021,-0.0408373252877076,-1.02111413577369,0.149107811567962
115,-0.426948982196482,-0.82099948001875,-0.0328984843742139,-1.01040850469592,0.156510540302953
116,-0.416546291623304,-0.809368576229261,-0.0237240070173458,-0.998187233253849,0.165094650007242
117,-0.406886557398783,-0.798363526798391,-0.0154095879991745,-0.986535528527462,0.172762413729896
118,-0.399866577199256,-0.789915556314879,-0.00981759808363186,-0.977401163156917,0.177668008758406
119,-0.395635701599913,-0.784202015375152,-0.00706938782467426,-0.970974946563696,0.17970354336387
120,-0.392601468273048,-0.779630985720742,-0.00557195082535333,-0.96566522200816,0.180462285462064
121,-0.388935957728746,-0.774369717817909,-0.00350219763958315,-0.959636918289939,0.181765002832447
122,-0.384274808972441,-0.768070005152685,-0.000479612792196493,-0.952549593900901,0.18399997595602
123,-0.379746640405345,-0.761893405984607,0.00240012517391708,-0.945580640366808,0.186087359556118
124,-0.3760348726707,-0.756549621942159,0.00447987660075966,-0.939452391848801,0.187382646507401
125,-0.371802343432579,-0.750711115988578,0.00710642912342097,-0.932841937921519,0.189237251056362
126,-0.364775116887009,-0.742109642212688,0.01255940843867,-0.923483767645705,0.193933533871687
127,-0.354296923041191,-0.730103616378771,0.0215097702963887,-0.910743355817263,0.20214950973488
128,-0.341971965088276,-0.716311755222212,0.0323678250456608,-0.896246395424353,0.212302465247802
129,-0.329742601346966,-0.70266789161029,0.0431826889163576,-0.881922621388819,0.222437418694887
130,-0.318473547938255,-0.689998408703024,0.0530513128265139,-0.86857999129124,0.23163289541473
131,-0.308824776224293,-0.67891835181087,0.0612687993622838,-0.856811955748801,0.239162403300214
132,-0.301930260021579,-0.670541239629371,0.0666807195862121,-0.847722201253984,0.243861681210825
133,-0.297681721405278,-0.664768466934532,0.0694050241239764,-0.841216771978856,0.245853329168301
134,-0.293317985924761,-0.658856184321308,0.0722202124717862,-0.834560146181971,0.247924174332449
135,-0.285842685258651,-0.649811549825992,0.0781261793086903,-0.824761176920868,0.253075806403566
136,-0.275818798196914,-0.638188858614865,0.0865512622210377,-0.812369985387423,0.260732388993596
137,-0.266833037644565,-0.627570234011899,0.0939041587227695,-0.800966488822699,0.267300413533569
138,-0.260854706543132,-0.619934763304015,0.0982253502177503,-0.79253447757408,0.270825064487816
139,-0.256110528379277,-0.613531429557575,0.10131037279902,-0.785333634263709,0.273112577505155
140,-0.250401190393309,-0.606189940224449,0.10538755943783,-0.777207615545392,0.276405234758774
141,-0.24451603468801,-0.598729861947726,0.109697792571705,-0.768990516151213,0.279958446775192
142,-0.240624594418957,-0.593341177297817,0.112091988459903,-0.76288214811187,0.281632959273956
143,-0.238452301923876,-0.589743650083583,0.112839046235831,-0.758599550533347,0.281694946685595
144,-0.234929879189572,-0.584830216949305,0.11497045857016,-0.753017497705322,0.283157739326178
145,-0.227363362224414,-0.575856612836771,0.121129888387944,-0.743367546257376,0.288640821808549
146,-0.215860481946651,-0.562902316911877,0.131181353018574,-0.729715595530258,0.297994631636955
147,-0.203162238314931,-0.548719329231427,0.142394852601564,-0.714818933019502,0.308494456389639
148,-0.193087499096344,-0.53715984762919,0.150984849436502,-0.702545777387317,0.316370779194629
149,-0.188306160658328,-0.530918756141501,0.154306434824844,-0.695603023541793,0.318990702225136
150,-0.18809872651181,-0.52928133980844,0.153083886784819,-0.693278254869995,0.317080801846374
151,-0.188481611464314,-0.528262598359297,0.151299375430669,-0.691585790912785,0.314622567984157
152,-0.185593051019049,-0.524010437277778,0.15282433523968,-0.686678185242338,0.315492083204239
153,-0.178741184992843,-0.515851872734513,0.158369502748827,-0.677891527363241,0.320409157377555
154,-0.16961089938619,-0.505481996777125,0.166260198004746,-0.666925815083785,0.327704016311406
155,-0.159681796088406,-0.494369299635149,0.175005707458337,-0.655244197570228,0.335880605393416
156,-0.149840594213373,-0.483373948892836,0.18369276046609,-0.643694079831066,0.34401289140432
157,-0.141472298296824,-0.473856303068413,0.190911706474765,-0.633623973735012,0.350679377141363
158,-0.135807420104881,-0.467036836401684,0.195421996191923,-0.626249528764434,0.354634688554672
159,-0.132299506659449,-0.462375410540776,0.197776397221878,-0.621033641831211,0.356434628512314
160,-0.129216734808766,-0.458162473581643,0.199729003964112,-0.616277466195567,0.357843996578036
161,-0.125660951061662,-0.45354333069867,0.202221428575346,-0.611147196393786,0.359825294270462
162,-0.121638665320344,-0.448587082805503,0.205309752164816,-0.60574201908359,0.362464688442903
163,-0.116717414311083,-0.442915246900022,0.209480418277857,-0.599709398065755,0.366274569443589
164,-0.11050716876122,-0.436144831938935,0.215130494416496,-0.592669725376483,0.371655387854043
165,-0.104217703752121,-0.429435612034552,0.22100020453031,-0.585758741064342,0.377323333560101
166,-0.099730796460288,-0.424582323488862,0.225120730568286,-0.580729343323673,0.381267750403097
167,-0.0970469995950876,-0.421464185676,0.227370186485825,-0.577402429996685,0.38330843080651
168,-0.0944267759895153,-0.418149112051988,0.229295560072957,-0.573753361453198,0.384899809474167
169,-0.0909833870567819,-0.413462433200313,0.231495659086749,-0.568469068000757,0.386502293887193
170,-0.0871674140164765,-0.407525602617546,0.233190774584593,-0.561512800668597,0.387177972635643
171,-0.0828006136356096,-0.399918951035323,0.234317723764104,-0.55234884346301,0.38674761619179
172,-0.0770882887568199,-0.389825771965864,0.235649194452224,-0.54014991062825,0.38597333311461
173,-0.070951808287393,-0.378414923493071,0.236511306918285,-0.526203821355541,0.384300204780756
174,-0.0667743406539313,-0.368512414083645,0.234963732775782,-0.513549444901119,0.380000763593257
175,-0.0649952716923538,-0.361025141599579,0.231034598214872,-0.50331839904834,0.373327855663632
